work_year,experience_level,employee_residence,remote_ratio,company_location,company_size,salario_eur,job_title_mean,company_location_mean,employee_location_mean,job_title_map,employment_type_encoded
137121.89788235293,2,34,0,29,3,59857.04,129600.18423809524,59857.04,60298.64,1,2
137121.89788235293,3,45,100,3,2,138000.0,142315.46851211073,139676.24877631577,48814.28,4,2
137121.89788235293,2,57,100,18,1,64170.920000000006,91885.46,81225.69928571429,33320.97464788733,4,2
122671.5311298077,1,57,50,55,3,276000.0,125732.80363636365,27781.922068965516,33320.97464788733,4,2
137121.89788235293,2,28,100,22,3,88851.76000000001,142315.46851211073,72439.24307692309,71284.78933333333,4,2
137121.89788235293,3,4,0,3,2,171028.0,160218.0,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,118956.0,160218.0,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,207000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,161000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,170200.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,128800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,40,0,35,2,44425.880000000005,129600.18423809524,53061.97974025974,55626.28200000001,1,2
137121.89788235293,3,40,0,35,2,35540.520000000004,129600.18423809524,53061.97974025974,55626.28200000001,1,2
137121.89788235293,3,4,0,3,2,96600.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,64400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,1,4,0,3,2,150140.32,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,1,4,0,3,2,134214.2,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,100,3,2,199640.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,170200.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,3,186576.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,3,95956.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,133400.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,59800.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,151800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,121716.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,164836.4,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,86756.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,140300.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,107134.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,227516.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,123096.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,186760.0,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,122360.0,150059.7081081081,139676.24877631577,140596.25071904127,0,2
137121.89788235293,1,4,50,3,3,202400.0,148317.05951219512,139676.24877631577,140596.25071904127,1,2
122671.5311298077,1,15,100,20,1,52013.12,142315.46851211073,75184.24,92627.44,4,2
137121.89788235293,3,4,0,3,2,138000.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,110400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,266616.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,196880.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,165434.4,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,132351.2,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,100,3,2,260544.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,100,3,2,173696.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,0,3,2,266616.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,197064.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,171028.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,118956.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,231840.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,118680.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,142600.0,130528.76363636363,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,128800.0,130528.76363636363,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,148856.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,130272.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,3,314916.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,0,3,3,162012.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,2,4,100,3,2,92000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,100,3,2,64400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,1,4,0,3,2,78200.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,1,4,0,3,2,59800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,127681.28,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,100,3,2,76608.40000000001,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,1,4,0,3,2,69000.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,1,4,0,3,2,64400.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,188140.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,127788.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,292836.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,100,3,2,195224.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,100,3,2,87400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,100,3,2,69000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,179400.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,147200.0,129600.18423809524,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,211600.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,3,4,0,3,2,131744.0,140179.14058252427,139676.24877631577,140596.25071904127,0,2
137121.89788235293,2,4,100,3,2,92000.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,100,3,2,64400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,50,3,3,96600.0,60780.168,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,57,100,55,3,19016.4,104628.19600000001,27781.922068965516,33320.97464788733,1,2
137121.89788235293,2,24,0,19,2,42483.76,100018.92895424837,79938.8481395349,80029.25748502994,3,2
137121.89788235293,2,24,0,19,2,39130.36,100018.92895424837,79938.8481395349,80029.25748502994,3,2
137121.89788235293,3,4,0,3,2,133400.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,105800.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,154928.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,2,96784.0,100018.92895424837,139676.24877631577,140596.25071904127,3,2
137121.89788235293,3,4,0,3,3,284648.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,3,146372.0,175043.32413793105,139676.24877631577,140596.25071904127,1,2
137121.89788235293,3,4,0,3,2,174800.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,3,4,0,3,2,138000.0,142315.46851211073,139676.24877631577,140596.25071904127,4,2
137121.89788235293,2,4,0,3,2,149500.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
137121.89788235293,2,4,0,3,2,119600.0,131362.87584615385,139676.24877631577,140596.25071904127,3,2
